Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 30s;Nb d'abandons >  30s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 30s;Nb Appels décrochés > 30s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 30s;SLA
01/08;;2;1;2;1;0;0;1;1;0;0;00:3:50;50.00;90;
02/08;;8;0;8;8;0;0;0;7;0;1;00:4:33;87.50;90;
03/08;;3;1;3;2;0;0;1;2;0;0;00:3:01;66.67;90;
04/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;
05/08;;4;0;4;4;0;0;0;4;0;0;00:5:37;100.00;90;
08/08;;2;0;2;2;0;0;0;2;0;0;00:9:57;100.00;90;
09/08;;3;0;3;3;0;0;0;3;0;0;00:0:41;100.00;90;
10/08;;3;0;3;3;0;0;0;3;0;0;00:2:08;100.00;90;
11/08;;4;1;4;3;0;0;1;3;0;0;00:5:07;75.00;90;
12/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;
16/08;;5;2;5;3;0;0;2;2;0;1;00:4:07;40.00;90;
17/08;;3;1;3;2;0;0;1;2;0;0;00:8:41;66.67;90;
18/08;;6;1;6;5;0;0;1;5;0;0;00:15:41;83.33;90;
19/08;;1;0;1;1;0;0;0;1;0;0;00:5:09;100.00;90;
22/08;;12;0;12;12;0;0;0;8;0;4;00:14:55;66.67;90;
23/08;;6;0;6;6;0;0;0;6;0;0;00:6:13;100.00;90;
24/08;;8;2;7;6;1;0;1;4;0;2;00:10:32;57.14;90;
25/08;;2;0;2;2;0;0;0;2;0;0;00:1:13;100.00;90;
26/08;;1;0;1;1;0;0;0;1;0;0;00:6:58;100.00;90;
29/08;;27;9;24;18;3;0;6;16;0;2;00:7:50;66.67;90;
30/08;;19;5;17;14;2;0;3;13;0;1;00:5:32;76.47;90;
31/08;;8;0;8;8;0;0;0;6;0;2;00:4:41;75.00;90;

;Totaux;127;23;121;104;6;0;17;91;0;13;00:7:24;75.21;90;
