Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 30s;Nb d'abandons >  30s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 30s;Nb Appels décrochés > 30s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 30s;SLA
01/08;;1;0;1;1;0;0;0;1;0;0;00:7:40;100.00;80;
02/08;;1;0;1;1;0;0;0;1;0;0;00:3:14;100.00;80;
03/08;;3;0;3;3;0;0;0;3;0;0;00:6:38;100.00;80;
04/08;;3;0;3;3;0;0;0;3;0;0;00:13:59;100.00;80;
05/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
08/08;;1;0;1;1;0;0;0;1;0;0;00:3:29;100.00;80;
09/08;;2;1;2;1;0;0;1;1;0;0;00:4:32;50.00;80;
10/08;;2;1;2;1;0;0;1;1;0;0;00:11:50;50.00;80;
11/08;;2;0;2;2;0;0;0;2;0;0;00:3:51;100.00;80;
12/08;;3;1;2;2;1;0;0;2;0;0;00:2:31;100.00;80;
16/08;;5;1;5;4;0;0;1;4;0;0;00:6:49;80.00;80;
17/08;;1;0;1;1;0;0;0;1;0;0;00:42:04;100.00;80;
18/08;;2;0;2;2;0;0;0;2;0;0;00:6:56;100.00;80;
19/08;;4;0;4;4;0;0;0;4;0;0;00:5:59;100.00;80;
22/08;;8;2;8;6;0;0;2;6;0;0;00:5:20;75.00;80;
23/08;;3;0;3;3;0;0;0;2;0;1;00:11:37;66.67;80;
24/08;;11;4;10;7;1;0;3;4;0;3;00:6:19;40.00;80;
25/08;;2;0;2;2;0;0;0;2;0;0;00:5:04;100.00;80;
26/08;;5;0;5;5;0;0;0;4;0;1;00:5:10;80.00;80;
29/08;;3;0;3;3;0;0;0;3;0;0;00:2:18;100.00;80;
30/08;;3;0;3;3;0;0;0;3;0;0;00:2:49;100.00;80;
31/08;;9;1;8;8;1;0;0;8;0;0;00:1:57;100.00;80;

;Totaux;74;11;71;63;3;0;8;58;0;5;00:6:12;81.69;80;
