Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 20s;Nb d'abandons >  20s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 20s;Nb Appels décrochés > 20s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 20s;SLA
01/08;;3;0;3;3;0;0;0;3;0;0;00:3:33;100.00;80;
02/08;;1;0;1;1;0;0;0;1;0;0;00:7:55;100.00;80;
03/08;;2;0;2;2;0;0;0;2;0;0;00:2:33;100.00;80;
04/08;;8;0;8;8;0;0;0;8;0;0;00:2:50;100.00;80;
05/08;;2;0;2;2;0;0;0;2;0;0;00:2:32;100.00;80;
08/08;;4;1;3;3;1;0;0;2;1;0;00:4:40;66.67;80;
09/08;;1;0;1;1;0;0;0;0;0;1;00:15:07;0.00;80;
10/08;;4;1;4;3;0;0;1;3;0;0;00:3:58;75.00;80;
11/08;;6;1;6;5;0;1;0;5;0;0;00:3:52;83.33;80;
12/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
16/08;;11;4;11;7;0;0;4;7;0;0;00:6:28;63.64;80;
17/08;;2;0;2;2;0;0;0;2;0;0;00:9:47;100.00;80;
18/08;;3;2;3;1;0;0;2;1;0;0;00:5:31;33.33;80;
19/08;;4;1;4;3;0;0;1;3;0;0;00:2:54;75.00;80;
22/08;;8;2;8;6;0;0;2;4;0;2;00:4:02;50.00;80;
23/08;;9;5;9;4;0;0;5;3;0;1;00:6:47;33.33;80;
24/08;;9;2;9;7;0;0;2;7;0;0;00:9:47;77.78;80;
25/08;;5;0;5;5;0;0;0;5;0;0;00:7:16;100.00;80;
26/08;;2;0;2;2;0;0;0;2;0;0;00:2:48;100.00;80;
29/08;;12;4;12;8;0;0;4;6;1;1;00:6:50;50.00;80;
30/08;;6;2;5;4;1;0;1;4;0;0;00:2:58;80.00;80;
31/08;;9;0;9;9;0;0;0;8;0;1;00:4:12;88.89;80;

;Totaux;111;25;109;86;2;1;22;78;2;6;00:5:19;71.56;80;
