Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 20s;Nb d'abandons >  20s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 20s;Nb Appels décrochés > 20s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 20s;SLA
01/08;;4;0;4;4;0;0;0;4;0;0;00:6:04;100.00;80;
02/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
03/08;;3;1;2;2;1;0;0;2;0;0;00:4:50;100.00;80;
04/08;;3;0;3;3;0;0;0;3;0;0;00:3:58;100.00;80;
05/08;;2;2;0;0;2;0;0;0;0;0;00:0:00;0.00;80;
08/08;;9;2;8;7;1;0;1;6;1;0;00:3:50;75.00;80;
09/08;;4;1;4;3;0;0;1;3;0;0;00:3:32;75.00;80;
10/08;;3;0;3;3;0;0;0;3;0;0;00:1:29;100.00;80;
11/08;;3;0;3;3;0;0;0;3;0;0;00:2:00;100.00;80;
12/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
16/08;;12;4;10;8;2;1;1;7;0;1;00:2:01;70.00;80;
17/08;;5;3;3;2;2;1;0;2;0;0;00:6:26;66.67;80;
18/08;;5;3;2;2;3;0;0;2;0;0;00:4:34;100.00;80;
19/08;;2;0;2;2;0;0;0;2;0;0;00:1:09;100.00;80;
22/08;;4;2;3;2;1;1;0;2;0;0;00:2:19;66.67;80;
23/08;;3;0;3;3;0;0;0;3;0;0;00:3:09;100.00;80;
24/08;;2;0;2;2;0;0;0;2;0;0;00:1:18;100.00;80;
25/08;;4;1;3;3;1;0;0;3;0;0;00:2:16;100.00;80;
26/08;;1;0;1;1;0;0;0;1;0;0;00:0:00;100.00;80;
29/08;;13;6;11;7;2;0;4;6;0;1;00:5:29;54.55;80;
30/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
31/08;;2;0;2;2;0;0;0;2;0;0;00:1:39;100.00;80;

;Totaux;84;25;69;59;15;3;7;56;1;2;00:3:26;81.16;80;
