Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 30s;Nb d'abandons >  30s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 30s;Nb Appels décrochés > 30s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 30s;SLA
01/08;;1;0;1;1;0;0;0;1;0;0;00:2:49;100.00;80;
02/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
03/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
04/08;;2;0;2;2;0;0;0;2;0;0;00:3:36;100.00;80;
05/08;;1;0;1;1;0;0;0;1;0;0;00:0:19;100.00;80;
08/08;;4;1;3;3;1;0;0;3;0;0;00:2:25;100.00;80;
09/08;;1;0;1;1;0;0;0;1;0;0;00:2:43;100.00;80;
10/08;;4;0;4;4;0;0;0;3;0;1;00:1:10;75.00;80;
11/08;;7;1;6;6;1;0;0;6;0;0;00:2:22;100.00;80;
12/08;;3;0;3;3;0;0;0;3;0;0;00:2:14;100.00;80;
16/08;;2;0;2;2;0;0;0;1;0;1;00:3:29;50.00;80;
17/08;;2;0;2;2;0;0;0;1;0;1;00:2:17;50.00;80;
18/08;;4;1;4;3;0;0;1;1;0;2;00:3:00;25.00;80;
19/08;;1;0;1;1;0;0;0;1;0;0;00:2:11;100.00;80;
22/08;;1;0;1;1;0;0;0;1;0;0;00:1:18;100.00;80;
23/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
24/08;;4;1;4;3;0;0;1;3;0;0;00:2:59;75.00;80;
25/08;;5;1;5;4;0;0;1;4;0;0;00:4:33;80.00;80;
26/08;;8;3;6;5;2;0;1;5;0;0;00:1:41;83.33;80;
29/08;;3;1;3;2;0;0;1;1;0;1;00:3:16;33.33;80;
30/08;;4;1;3;3;1;0;0;3;0;0;00:1:21;100.00;80;
31/08;;4;2;2;2;2;0;0;2;0;0;00:2:13;100.00;80;

;Totaux;61;12;54;49;7;0;5;43;0;6;00:2:27;79.63;80;
