Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 30s;Nb d'abandons >  30s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 30s;Nb Appels décrochés > 30s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 30s;SLA
01/08;;30;8;27;22;3;0;5;19;0;3;00:8:45;70.37;90;
02/08;;16;0;16;16;0;0;0;15;0;1;00:5:40;93.75;90;
03/08;;10;1;9;9;1;0;0;9;0;0;00:6:25;100.00;90;
04/08;;7;0;7;7;0;0;0;7;0;0;00:11:26;100.00;90;
05/08;;35;13;28;22;7;0;6;16;0;6;00:4:41;57.14;90;
08/08;;19;0;19;19;0;0;0;18;0;1;00:6:29;94.74;90;
09/08;;17;1;17;16;0;0;1;16;0;0;00:3:42;94.12;90;
10/08;;9;2;8;7;1;0;1;7;0;0;00:3:18;87.50;90;
11/08;;7;1;6;6;1;0;0;6;0;0;00:4:43;100.00;90;
12/08;;10;1;9;9;1;0;0;8;0;1;00:6:58;88.89;90;
16/08;;19;3;19;16;0;0;3;15;0;1;00:4:59;78.95;90;
17/08;;32;11;23;21;9;0;2;20;0;1;00:4:38;86.96;90;
18/08;;25;8;21;17;4;0;4;15;0;2;00:6:55;71.43;90;
19/08;;10;0;10;10;0;0;0;10;0;0;00:6:07;100.00;90;
22/08;;24;8;22;16;2;0;6;13;0;3;00:3:37;59.09;90;
23/08;;15;0;15;15;0;0;0;15;0;0;00:5:15;100.00;90;
24/08;;33;10;27;23;6;0;4;22;0;1;00:4:41;81.48;90;
25/08;;12;0;12;12;0;0;0;10;0;2;00:5:26;83.33;90;
26/08;;24;5;22;19;2;0;3;17;0;2;00:5:25;77.27;90;
29/08;;58;7;56;51;2;0;5;47;0;4;00:4:28;83.93;90;
30/08;;31;6;30;25;1;0;5;21;0;4;00:6:56;70.00;90;
31/08;;17;0;17;17;0;0;0;17;0;0;00:5:56;100.00;90;

;Totaux;460;85;420;375;40;0;45;343;0;32;00:5:35;81.67;90;
